employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
72939,Operations,region_2,Bachelor's,f,other,1,33,4,6,0,0,60,0
48407,Operations,region_2,Bachelor's,m,sourcing,1,39,3,3,0,0,63,0
15375,Technology,region_2,Bachelor's,f,other,2,25,3,4,0,0,79,0
44081,Procurement,region_13,Bachelor's,f,other,1,30,3,4,1,0,67,0
76043,Procurement,region_7,Master's & above,m,other,1,32,1,6,0,0,69,0
18119,Sales & Marketing,region_15,Bachelor's,m,other,1,42,3,12,0,0,50,0
16900,HR,region_7,Master's & above,f,other,1,32,3,4,1,0,49,0
38230,Finance,region_7,Bachelor's,m,other,1,29,2,4,0,0,58,0
33936,Sales & Marketing,region_29,Bachelor's,m,other,1,32,1,7,0,0,54,0
45889,Technology,region_1,Master's & above,m,sourcing,1,37,3,6,0,0,81,0
23213,Technology,region_22,Master's & above,m,other,1,40,1,8,0,0,84,0
68096,Legal,region_22,Bachelor's,m,other,1,33,5,5,1,0,59,0
27543,Operations,region_4,Master's & above,m,sourcing,1,44,3,15,1,0,61,1
62221,Operations,region_13,Master's & above,f,other,1,49,4,18,0,0,60,0
24894,Sales & Marketing,region_2,Master's & above,f,other,1,50,3,4,0,0,51,0
14018,Operations,region_13,Bachelor's,f,other,1,29,4,3,1,0,59,0
72574,HR,region_31,Master's & above,f,sourcing,1,38,4,8,0,0,51,0
76325,Sales & Marketing,region_27,,m,other,1,26,3,3,0,0,54,0
70523,Operations,region_27,Bachelor's,m,sourcing,2,31,5,9,1,0,59,0
62595,Technology,region_2,Bachelor's,f,other,1,30,1,7,0,0,80,0
62469,Technology,region_22,Master's & above,m,referred,2,36,4,3,0,0,76,0
33310,Analytics,region_22,Bachelor's,m,other,2,25,4,2,0,0,87,0
56013,Operations,region_4,Bachelor's,m,sourcing,1,28,3,6,0,0,61,0
69540,Technology,region_5,Bachelor's,f,sourcing,1,24,,1,0,0,81,1
28657,Procurement,region_7,Master's & above,m,other,1,44,1,10,0,0,67,0
36952,Technology,region_7,Master's & above,m,sourcing,1,34,3,6,0,0,79,0
33438,R&D,region_30,Bachelor's,f,other,1,30,5,4,1,0,86,0
35797,Legal,region_2,Master's & above,m,other,1,44,4,2,0,0,58,0
22648,Operations,region_2,Master's & above,f,sourcing,1,41,5,6,1,0,60,0
62158,Procurement,region_2,Master's & above,m,other,1,58,3,31,0,0,72,0
13211,Procurement,region_2,Bachelor's,m,other,2,54,3,16,0,0,73,0
49064,Operations,region_7,Master's & above,f,sourcing,1,34,4,9,0,0,59,0
18447,Sales & Marketing,region_22,Bachelor's,f,other,1,25,5,3,1,0,54,0
68518,Analytics,region_22,Bachelor's,m,other,4,27,5,3,0,0,86,0
62538,Procurement,region_22,Master's & above,f,other,1,33,4,8,1,0,71,0
45895,HR,region_26,Bachelor's,m,other,1,28,1,2,0,0,51,0
58668,Procurement,region_15,Bachelor's,m,sourcing,1,33,3,6,1,0,69,0
60995,Operations,region_16,Master's & above,f,other,1,35,4,7,1,0,65,0
62098,Legal,region_2,Bachelor's,m,sourcing,1,30,,1,0,0,63,0
46101,Operations,region_20,Bachelor's,m,sourcing,1,27,3,4,0,0,54,0
27372,Finance,region_22,Bachelor's,m,sourcing,1,25,4,4,0,0,63,0
34361,Legal,region_27,Bachelor's,m,other,1,28,1,3,1,0,60,0
65616,Procurement,region_17,Master's & above,m,sourcing,1,60,3,21,0,0,65,0
57560,Procurement,region_10,Master's & above,m,sourcing,1,32,3,7,0,0,72,0
40308,Operations,region_2,Bachelor's,f,sourcing,1,42,3,12,0,0,61,0
13560,R&D,region_29,Bachelor's,m,sourcing,1,29,3,3,1,0,79,0
73271,Technology,region_11,Bachelor's,m,other,2,35,3,10,0,0,83,0
44802,Technology,region_2,Bachelor's,m,sourcing,1,57,2,29,0,0,78,0
24803,Procurement,region_4,Master's & above,m,sourcing,1,38,2,4,1,0,71,0
10727,Procurement,region_22,Master's & above,f,other,1,35,2,3,0,0,70,0
76938,Technology,region_28,Bachelor's,m,other,1,28,5,4,0,1,91,1
7324,Analytics,region_1,Bachelor's,m,sourcing,2,27,5,4,1,1,78,0
55461,Operations,region_15,Bachelor's,m,other,1,24,,1,0,0,59,0
22781,Technology,region_6,Bachelor's,m,sourcing,1,28,,1,1,0,76,0
48965,Analytics,region_4,Bachelor's,m,sourcing,1,31,5,7,1,0,84,0
8422,Operations,region_22,Bachelor's,m,other,1,27,4,4,1,0,62,0
28847,Operations,region_22,Bachelor's,f,sourcing,3,36,2,4,0,0,78,1
37770,Sales & Marketing,region_31,,m,sourcing,1,24,,1,0,0,53,0
6629,Technology,region_2,Bachelor's,m,sourcing,1,31,3,5,0,0,83,0
21565,Sales & Marketing,region_26,Bachelor's,m,other,2,28,5,6,0,0,50,0
24109,Technology,region_2,Bachelor's,m,other,1,26,3,4,0,0,80,0
72720,Sales & Marketing,region_15,,m,other,1,39,2,4,0,0,48,0
46035,Procurement,region_32,Bachelor's,m,other,1,34,3,11,0,0,75,0
65591,Technology,region_24,Bachelor's,m,sourcing,1,34,3,8,0,0,78,0
42661,Procurement,region_13,Bachelor's,f,sourcing,1,40,4,12,1,0,68,0
69503,Technology,region_7,Master's & above,f,sourcing,2,33,4,7,0,0,82,0
73853,R&D,region_4,Master's & above,m,other,1,42,4,8,1,0,85,1
28442,Technology,region_4,Bachelor's,m,sourcing,2,30,4,2,0,0,83,0
5443,Operations,region_2,Bachelor's,m,other,2,28,5,7,0,0,63,0
35365,Sales & Marketing,region_14,Bachelor's,m,other,1,26,,1,0,0,47,0
28878,Sales & Marketing,region_33,Bachelor's,m,other,1,34,1,8,0,0,47,0
58930,Operations,region_22,Bachelor's,m,other,1,46,2,6,0,0,65,0
31411,Operations,region_2,Bachelor's,m,other,1,36,5,8,0,0,58,0
44822,Operations,region_27,Bachelor's,f,other,1,23,2,2,0,0,58,0
75077,Technology,region_2,Bachelor's,f,sourcing,2,57,3,2,0,0,82,0
55424,Procurement,region_15,Master's & above,m,referred,1,36,4,3,1,0,68,0
17042,Sales & Marketing,region_2,Bachelor's,f,other,2,26,4,3,0,0,50,0
57220,Sales & Marketing,region_14,,m,sourcing,1,25,,1,0,0,51,0
64872,Procurement,region_21,Bachelor's,m,other,1,31,1,7,0,0,69,0
10225,Operations,region_13,Bachelor's,m,other,1,31,3,7,1,0,61,0
22140,Technology,region_26,Bachelor's,f,other,1,32,4,7,0,0,77,0
45557,Sales & Marketing,region_15,Bachelor's,m,other,1,33,4,8,1,0,52,0
39700,Sales & Marketing,region_13,Bachelor's,m,other,1,33,3,5,1,0,50,0
47586,Analytics,region_19,Bachelor's,m,other,1,35,3,7,0,0,84,0
404,Operations,region_15,Bachelor's,m,referred,1,36,4,7,1,0,58,0
13038,Legal,region_7,Master's & above,m,sourcing,1,54,3,7,0,1,54,0
47354,Sales & Marketing,region_2,Master's & above,m,other,2,35,5,9,1,0,49,0
54617,Procurement,region_2,Master's & above,f,other,1,44,3,15,0,0,69,0
12230,Sales & Marketing,region_11,Bachelor's,m,other,1,31,3,8,0,0,50,0
76197,Sales & Marketing,region_24,Master's & above,m,other,1,33,,1,0,0,48,0
19612,HR,region_28,Bachelor's,m,other,1,33,3,4,0,0,51,0
62979,Procurement,region_19,Bachelor's,f,sourcing,1,31,4,3,1,0,68,0
180,Analytics,region_29,Bachelor's,m,sourcing,1,27,4,3,1,0,86,0
28422,Analytics,region_16,Bachelor's,m,other,2,30,5,4,1,0,88,0
57808,Analytics,region_22,Master's & above,m,other,1,41,3,12,0,0,88,0
75110,Finance,region_26,Bachelor's,m,other,1,33,5,4,1,0,62,0
35207,Operations,region_27,Bachelor's,m,other,1,28,5,2,1,0,62,0
41292,Technology,region_13,Master's & above,m,sourcing,2,35,1,7,0,0,81,0
14613,Operations,region_2,,f,sourcing,1,43,3,4,0,0,64,0
14584,Operations,region_4,Master's & above,m,sourcing,1,34,3,7,0,0,59,0
3581,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,31,4,9,0,0,52,0
8424,Operations,region_15,Master's & above,m,sourcing,2,44,5,11,1,0,92,1
45253,Analytics,region_22,Bachelor's,f,sourcing,1,29,4,4,1,0,92,1
24293,Operations,region_7,Bachelor's,m,sourcing,1,31,3,8,1,0,57,0
45094,Procurement,region_5,Bachelor's,m,sourcing,1,35,3,8,0,0,68,0
69466,Procurement,region_15,Bachelor's,m,sourcing,1,28,,1,0,0,71,0
5639,Procurement,region_13,Master's & above,f,other,1,30,1,2,0,0,66,0
36805,Analytics,region_29,,m,sourcing,1,30,,1,1,0,85,0
55333,R&D,region_22,Master's & above,m,other,2,28,,1,0,0,87,0
34543,Operations,region_19,Bachelor's,m,other,1,27,4,2,0,0,60,0
17536,Operations,region_7,Bachelor's,f,other,1,45,5,14,0,0,60,0
36340,Procurement,region_2,Master's & above,f,other,1,47,5,7,1,0,71,0
24177,Procurement,region_34,Master's & above,m,other,1,37,3,10,0,0,75,0
35480,Sales & Marketing,region_2,,m,other,1,25,3,2,0,0,46,0
48067,Sales & Marketing,region_23,Bachelor's,f,sourcing,1,28,5,4,0,0,53,0
38827,Sales & Marketing,region_31,Bachelor's,m,other,2,38,1,2,0,0,48,0
37594,Procurement,region_2,Master's & above,m,other,2,46,3,16,0,0,66,0
63292,Procurement,region_22,Bachelor's,m,sourcing,1,26,,1,0,0,80,1
45571,HR,region_26,Bachelor's,m,other,1,28,5,7,1,0,51,0
33535,Sales & Marketing,region_7,,m,sourcing,1,27,3,4,1,0,48,0
52397,Operations,region_22,Below Secondary,m,sourcing,1,22,,1,0,0,58,0
25070,Procurement,region_4,Master's & above,f,sourcing,2,37,1,7,1,0,65,0
70914,R&D,region_7,Bachelor's,m,other,1,32,3,7,0,0,85,0
44344,Sales & Marketing,region_13,Master's & above,f,sourcing,1,40,3,5,1,0,50,1
35745,Technology,region_16,Master's & above,f,sourcing,1,39,1,4,1,0,79,0
6759,Technology,region_27,Bachelor's,m,referred,1,27,4,4,0,0,78,0
63434,Sales & Marketing,region_22,,f,other,2,23,,1,0,0,43,0
35019,Operations,region_2,Bachelor's,f,other,1,25,4,2,1,0,58,0
76987,Procurement,region_7,Bachelor's,m,sourcing,1,36,2,3,0,0,68,0
19329,Technology,region_26,Bachelor's,f,other,1,29,3,5,0,0,79,0
21963,Procurement,region_22,Master's & above,m,other,1,44,4,10,0,0,70,0
21714,Sales & Marketing,region_19,,m,sourcing,1,41,4,8,0,0,46,0
76470,Technology,region_17,Bachelor's,f,other,1,32,5,4,1,0,95,1
51688,Operations,region_15,Master's & above,f,other,1,37,5,7,1,1,65,0
32715,Sales & Marketing,region_4,Bachelor's,m,other,2,27,3,2,0,0,50,0
63965,Sales & Marketing,region_2,,f,other,1,30,1,4,0,0,50,0
67757,Operations,region_29,Bachelor's,m,sourcing,1,29,3,2,0,0,59,0
35070,Finance,region_22,Below Secondary,m,sourcing,1,24,,1,0,0,61,0
76241,Operations,region_19,Bachelor's,m,other,1,36,5,10,1,0,58,0
64419,Sales & Marketing,region_19,Bachelor's,m,other,1,35,3,10,0,0,49,0
19919,Analytics,region_22,Bachelor's,m,other,1,20,,1,1,0,84,0
45230,Legal,region_22,Bachelor's,m,other,1,29,,1,0,0,62,0
8611,Technology,region_2,,f,other,1,60,3,31,0,0,82,0
71070,Finance,region_2,Bachelor's,m,other,1,34,3,7,0,0,58,0
71200,Operations,region_15,Bachelor's,m,other,1,34,3,8,1,0,58,0
22207,Analytics,region_22,,m,sourcing,1,29,4,7,0,0,87,0
15717,Technology,region_2,Below Secondary,f,other,1,24,1,2,1,0,74,0
70680,HR,region_22,Bachelor's,m,sourcing,1,28,,1,1,0,51,1
19066,HR,region_7,Master's & above,f,other,1,42,4,11,1,0,54,0
28683,Operations,region_2,Bachelor's,f,other,1,35,2,7,0,0,61,0
14000,Sales & Marketing,region_13,Master's & above,m,other,1,35,4,3,1,0,44,0
56788,Technology,region_7,Bachelor's,f,referred,1,32,3,5,0,0,81,0
55451,Analytics,region_27,Bachelor's,m,other,1,30,3,5,0,0,85,0
61858,Procurement,region_34,Master's & above,m,other,1,37,5,10,1,0,67,0
26814,Sales & Marketing,region_33,Master's & above,m,other,1,40,1,5,0,0,51,0
74295,Procurement,region_13,Master's & above,f,other,1,36,3,6,1,0,67,1
60803,Operations,region_2,Master's & above,m,sourcing,1,45,3,12,0,0,60,0
62273,Sales & Marketing,region_2,Master's & above,m,other,1,47,3,4,1,0,48,0
24706,Analytics,region_22,Bachelor's,f,other,2,29,3,2,0,0,81,0
9641,Procurement,region_7,Bachelor's,m,other,1,29,3,3,1,0,71,0
11330,Sales & Marketing,region_2,Bachelor's,m,referred,1,32,5,5,1,0,46,0
47740,Sales & Marketing,region_15,,m,sourcing,1,31,3,6,1,0,44,0
32746,Operations,region_15,Bachelor's,f,sourcing,1,32,3,2,0,0,56,0
31629,Technology,region_2,Bachelor's,f,other,1,30,3,2,0,0,76,0
8874,Operations,region_2,Master's & above,f,sourcing,2,48,3,21,0,0,58,0
2991,Operations,region_4,Master's & above,f,other,1,45,4,18,1,0,59,0
70013,Analytics,region_31,Bachelor's,m,other,1,26,3,5,1,0,86,0
36259,Sales & Marketing,region_29,Bachelor's,m,other,1,29,3,2,1,0,47,0
27447,Analytics,region_22,Bachelor's,m,sourcing,1,39,3,10,0,0,85,0
47082,Sales & Marketing,region_10,Master's & above,m,other,2,38,1,7,0,0,44,0
24181,Finance,region_2,Bachelor's,m,other,1,30,3,5,0,0,60,0
53113,Technology,region_15,Bachelor's,f,other,2,30,5,4,1,0,81,0
14594,Sales & Marketing,region_13,Master's & above,f,sourcing,1,34,1,2,0,0,50,0
20467,Sales & Marketing,region_22,Master's & above,m,sourcing,1,32,5,7,1,0,45,0
312,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,35,3,9,1,0,45,1
62432,Sales & Marketing,region_2,Master's & above,f,sourcing,1,45,2,4,0,0,51,0
46217,HR,region_22,Master's & above,m,other,1,39,3,12,0,0,55,0
30935,Technology,region_2,Master's & above,f,other,1,35,5,7,1,0,79,0
61280,Finance,region_15,Bachelor's,m,sourcing,1,30,5,8,0,0,58,0
18317,Finance,region_22,Bachelor's,m,sourcing,2,29,5,5,1,0,65,0
49071,Sales & Marketing,region_33,Bachelor's,m,other,1,50,1,14,0,0,52,0
58446,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,38,2,6,0,0,49,0
14715,Technology,region_7,Bachelor's,m,sourcing,2,29,5,2,1,0,83,0
44874,Sales & Marketing,region_15,Bachelor's,m,other,1,28,,1,0,0,49,0
59341,Analytics,region_24,Bachelor's,m,sourcing,2,30,3,2,0,0,86,0
1571,Operations,region_2,Master's & above,m,sourcing,1,57,4,16,1,0,64,0
6284,Operations,region_14,Bachelor's,m,sourcing,1,27,5,3,1,0,60,0
26844,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,57,3,28,0,0,51,0
70024,Technology,region_13,Bachelor's,m,sourcing,1,49,3,24,0,0,80,0
1570,Operations,region_13,Bachelor's,m,other,1,34,3,3,0,0,68,1
7820,Sales & Marketing,region_2,Master's & above,m,other,1,40,3,5,1,0,49,0
21820,Technology,region_2,Bachelor's,f,sourcing,1,30,,1,1,0,80,0
65198,Sales & Marketing,region_31,,m,other,1,34,1,5,0,0,48,0
45312,Analytics,region_15,Bachelor's,m,other,1,37,5,11,0,1,86,1
49777,HR,region_2,,m,sourcing,1,29,4,2,0,0,48,0
18112,Operations,region_2,Bachelor's,f,other,1,35,3,5,0,0,63,0
5974,Finance,region_2,Bachelor's,m,other,1,28,3,6,1,0,59,0
51581,Procurement,region_7,Bachelor's,f,other,1,39,4,5,0,0,68,0
28235,Analytics,region_10,Master's & above,m,other,1,35,5,3,0,0,85,0
74181,Procurement,region_16,Bachelor's,f,other,1,37,5,5,0,0,77,1
7614,Technology,region_4,Bachelor's,m,other,2,30,5,5,0,0,86,0
32731,Operations,region_15,Master's & above,f,other,1,33,1,9,0,0,60,0
67931,Procurement,region_5,Bachelor's,f,other,1,33,1,4,1,0,65,0
58959,Operations,region_16,Master's & above,f,sourcing,1,43,5,6,1,0,60,0
9710,Operations,region_7,Bachelor's,m,other,1,29,4,4,0,0,61,0
38194,Operations,region_28,Master's & above,f,other,1,33,1,8,0,0,64,0
77159,Analytics,region_5,Master's & above,m,sourcing,1,37,2,7,0,1,81,1
20957,Operations,region_22,Master's & above,f,other,1,36,4,9,1,0,57,0
11700,Analytics,region_22,Bachelor's,m,sourcing,2,31,3,2,1,0,87,0
4747,Technology,region_22,Master's & above,m,referred,3,36,3,7,1,0,80,1
5628,Sales & Marketing,region_2,Bachelor's,m,referred,1,36,5,9,0,0,52,0
54513,Technology,region_2,Bachelor's,m,referred,1,30,5,5,1,0,86,0
70309,Sales & Marketing,region_13,Bachelor's,m,other,2,38,1,8,0,0,50,0
17679,Technology,region_2,Master's & above,m,other,1,45,4,16,0,0,80,0
2639,Operations,region_30,Bachelor's,f,other,1,26,4,6,1,0,60,0
76533,R&D,region_2,Bachelor's,m,other,1,35,3,5,0,0,89,0
44341,Sales & Marketing,region_21,Bachelor's,f,sourcing,1,31,5,5,1,0,48,0
11411,Operations,region_26,Bachelor's,m,sourcing,1,29,3,3,0,0,65,0
37115,Operations,region_2,Master's & above,m,other,1,33,3,5,0,0,57,0
66108,Sales & Marketing,region_29,Bachelor's,m,other,1,46,3,6,0,0,48,0
6405,HR,region_2,Master's & above,f,sourcing,1,51,5,16,1,0,52,0
15699,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,41,3,11,0,0,46,0
16487,Technology,region_2,Bachelor's,f,other,1,55,5,3,1,0,80,0
67427,Technology,region_7,Master's & above,m,other,1,43,4,4,1,0,78,0
19508,Procurement,region_5,Bachelor's,f,other,1,33,3,8,0,0,71,0
14571,Technology,region_16,Bachelor's,f,sourcing,1,32,1,7,0,0,86,0
56332,Sales & Marketing,region_13,Master's & above,m,sourcing,1,33,5,3,1,0,51,0
75214,Procurement,region_2,Bachelor's,m,sourcing,2,31,3,6,0,0,74,0
8781,Technology,region_13,Bachelor's,m,other,1,29,3,2,0,0,76,0
59192,Sales & Marketing,region_12,Master's & above,m,sourcing,2,35,1,7,1,0,49,0
30633,HR,region_7,Bachelor's,f,other,1,27,5,4,1,0,48,0
64524,Operations,region_4,Master's & above,f,other,1,35,4,6,0,0,59,0
72314,Procurement,region_7,Master's & above,f,sourcing,1,32,3,4,1,0,68,0
49834,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,56,2,17,0,0,49,0
4905,Sales & Marketing,region_28,Master's & above,m,other,1,35,4,2,1,0,54,0
35945,Operations,region_2,Bachelor's,m,other,4,32,2,7,0,0,62,0
3907,Procurement,region_22,Bachelor's,f,other,1,34,5,2,1,0,65,1
19050,Analytics,region_31,,f,other,1,27,1,4,0,0,88,0
54886,Technology,region_7,Bachelor's,m,sourcing,1,36,5,10,1,0,80,0
68919,Technology,region_13,Bachelor's,m,sourcing,1,38,5,4,0,0,93,1
11908,Sales & Marketing,region_7,Master's & above,f,other,1,33,2,4,1,0,51,0
13939,Operations,region_22,Master's & above,f,other,1,36,3,8,1,0,59,0
42539,Technology,region_2,Bachelor's,f,referred,1,33,5,6,0,0,80,0
19198,Sales & Marketing,region_6,Bachelor's,m,other,1,32,3,6,1,0,47,1
12297,Operations,region_19,Bachelor's,m,other,1,35,4,7,0,0,60,0
18974,Procurement,region_2,Bachelor's,m,sourcing,2,34,3,4,0,0,66,0
30368,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,32,3,5,0,0,51,0
29790,Operations,region_15,Bachelor's,m,sourcing,1,43,3,3,0,0,56,0
63853,Sales & Marketing,region_34,Bachelor's,m,other,1,29,3,2,0,0,52,0
65924,Procurement,region_23,Master's & above,m,sourcing,2,36,1,9,0,0,69,0
46197,Operations,region_31,Bachelor's,m,other,1,32,2,3,0,0,61,0
18446,Procurement,region_22,Master's & above,f,other,2,34,3,9,0,0,67,0
51624,Operations,region_21,Bachelor's,m,sourcing,1,31,4,5,0,0,59,0
37234,Operations,region_1,Master's & above,m,other,1,33,2,6,0,0,62,0
20897,Sales & Marketing,region_4,Master's & above,m,sourcing,1,44,5,8,1,0,49,0
50722,Sales & Marketing,region_6,Bachelor's,f,other,1,29,5,5,0,0,51,0
41194,Operations,region_10,Master's & above,m,other,1,31,5,6,1,0,57,0
17372,Sales & Marketing,region_20,Master's & above,m,other,1,30,,1,0,0,46,0
6543,Procurement,region_10,Master's & above,f,other,1,30,3,8,0,0,69,0
84,Technology,region_23,Bachelor's,f,sourcing,1,31,3,4,0,0,76,0
22137,Operations,region_7,Master's & above,m,other,1,39,5,14,1,0,56,0
5487,Analytics,region_11,Master's & above,m,sourcing,2,39,4,8,0,0,88,0
12034,R&D,region_25,Bachelor's,m,sourcing,1,32,3,7,0,0,83,0
66558,Sales & Marketing,region_2,Master's & above,m,other,1,50,5,5,1,0,53,0
30140,Analytics,region_28,Bachelor's,m,other,1,34,3,7,1,0,80,1
68560,Operations,region_2,Bachelor's,f,other,1,39,3,5,0,0,54,0
14995,Analytics,region_2,Bachelor's,m,other,1,54,3,16,0,0,82,0
6475,Procurement,region_22,Bachelor's,f,sourcing,2,27,2,3,1,0,67,0
72180,Legal,region_22,Bachelor's,f,other,1,33,4,8,1,0,59,0
55576,Operations,region_4,Master's & above,m,other,1,46,3,7,0,0,61,0
18720,Technology,region_7,Bachelor's,f,sourcing,2,36,4,9,0,0,86,0
11567,Sales & Marketing,region_26,,m,other,1,31,1,4,0,0,48,0
27107,HR,region_2,Master's & above,m,sourcing,1,48,1,15,0,0,49,0
53874,Finance,region_22,Bachelor's,m,sourcing,2,26,4,2,1,0,57,0
68862,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,30,3,2,0,0,47,0
28244,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,29,1,4,0,0,49,0
33291,Technology,region_4,Bachelor's,m,sourcing,1,40,4,8,1,0,82,0
44971,Sales & Marketing,region_16,,m,other,1,37,3,4,0,0,47,0
39809,R&D,region_4,Master's & above,m,sourcing,1,39,4,9,1,0,87,0
11214,Analytics,region_2,Bachelor's,m,other,2,35,3,7,0,0,84,0
69098,HR,region_7,Master's & above,m,other,1,32,3,5,0,0,53,0
59449,Analytics,region_22,Bachelor's,f,other,1,30,5,7,1,0,81,0
63896,Analytics,region_4,Bachelor's,m,other,1,47,5,16,1,0,81,0
51858,Technology,region_14,Bachelor's,m,other,1,25,3,2,0,0,80,0
41757,Operations,region_32,Bachelor's,f,other,1,40,5,3,0,0,64,0
38668,Sales & Marketing,region_22,Bachelor's,f,other,1,26,,1,0,0,51,0
2481,Procurement,region_2,Bachelor's,f,other,1,32,4,3,1,0,70,0
7733,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,30,1,2,0,0,53,0
23136,Operations,region_27,Master's & above,m,other,1,46,5,14,0,0,58,0
72338,Sales & Marketing,region_26,Bachelor's,f,other,1,26,5,3,0,0,49,0
29682,Operations,region_7,Below Secondary,m,other,1,25,3,2,1,0,61,0
16620,Operations,region_27,Bachelor's,m,sourcing,1,28,2,3,0,0,62,0
34392,R&D,region_26,Bachelor's,m,sourcing,2,40,3,2,1,1,84,1
10897,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,26,4,3,1,0,47,0
66827,Operations,region_2,,f,sourcing,1,36,4,2,0,0,60,0
25558,Operations,region_22,Bachelor's,f,sourcing,1,37,4,8,0,0,61,0
46304,Procurement,region_13,Master's & above,m,sourcing,1,35,4,6,0,0,74,0
1050,Technology,region_24,Bachelor's,m,other,1,30,2,7,0,0,81,0
7654,Finance,region_15,Bachelor's,m,sourcing,1,34,3,3,0,0,60,0
7740,R&D,region_2,Bachelor's,m,sourcing,2,33,1,4,0,0,86,0
3809,Technology,region_3,Bachelor's,m,sourcing,1,26,,1,1,0,81,0
14011,Procurement,region_26,Bachelor's,m,other,1,32,3,5,0,0,68,0
33004,Technology,region_7,Bachelor's,f,referred,1,30,5,6,1,0,79,0
13086,Sales & Marketing,region_7,Bachelor's,m,other,1,32,3,4,0,0,65,1
40110,Analytics,region_7,Master's & above,m,other,1,37,1,10,0,0,84,0
35067,Technology,region_2,Below Secondary,m,sourcing,1,30,3,2,0,0,81,0
37284,Operations,region_7,Master's & above,m,other,1,41,2,5,1,0,58,0
9165,Analytics,region_7,Master's & above,m,sourcing,1,35,4,5,0,0,86,0
47776,Procurement,region_7,Bachelor's,f,other,2,31,3,6,0,0,73,0
15706,Technology,region_24,Bachelor's,m,other,1,45,1,15,0,0,75,0
19768,Technology,region_26,Bachelor's,m,sourcing,1,32,3,2,0,0,80,0
9852,Sales & Marketing,region_26,,m,other,1,36,1,7,0,0,46,0
14727,Operations,region_15,Bachelor's,f,sourcing,1,43,4,7,1,0,53,0
55106,Operations,region_13,Bachelor's,f,sourcing,1,30,1,5,1,1,59,0
60464,Sales & Marketing,region_19,Master's & above,m,other,1,42,1,5,0,0,51,0
33520,HR,region_11,Bachelor's,m,sourcing,1,28,5,4,1,0,52,0
47817,Analytics,region_26,Bachelor's,m,other,1,26,4,3,0,0,84,0
19049,Operations,region_22,Master's & above,m,other,1,48,2,17,0,0,56,0
51802,Technology,region_10,Master's & above,m,sourcing,1,37,4,5,0,0,78,0
71140,Finance,region_4,Master's & above,m,other,1,34,1,3,0,0,59,0
21975,Procurement,region_2,Master's & above,f,sourcing,1,30,5,6,1,0,72,0
36035,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,27,1,4,0,0,47,0
67964,Procurement,region_7,Bachelor's,m,other,1,36,3,4,1,0,72,1
25767,Sales & Marketing,region_20,Master's & above,m,sourcing,1,44,5,4,0,0,50,0
68211,Operations,region_31,Bachelor's,m,other,1,30,5,4,1,0,57,0
29839,Sales & Marketing,region_13,Bachelor's,m,other,1,54,5,11,1,0,45,1
64081,Analytics,region_31,Bachelor's,m,other,2,35,3,2,0,0,83,0
71863,Finance,region_26,Bachelor's,m,sourcing,1,30,3,6,0,0,64,0
65698,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,29,4,5,0,0,51,0
17408,Operations,region_2,Bachelor's,f,sourcing,1,36,4,2,1,0,59,0
7147,Procurement,region_8,Master's & above,m,sourcing,1,36,4,10,0,0,72,0
8674,Operations,region_7,Bachelor's,f,other,2,42,3,6,1,0,61,0
14767,Procurement,region_2,Bachelor's,f,sourcing,2,29,5,4,1,0,69,0
72794,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,34,3,3,0,0,46,0
58326,HR,region_22,Master's & above,f,sourcing,1,35,5,6,0,0,44,0
21213,Procurement,region_13,Bachelor's,m,other,1,28,,1,1,0,68,0
25635,Operations,region_13,Master's & above,f,other,1,49,5,9,1,0,56,0
30697,Operations,region_15,Bachelor's,f,other,1,27,5,4,1,0,59,0
62879,Procurement,region_19,Bachelor's,m,other,1,37,5,9,1,0,74,0
72585,Sales & Marketing,region_7,Bachelor's,f,other,1,30,3,6,0,0,54,0
4882,HR,region_2,Master's & above,m,sourcing,1,60,5,13,1,0,50,0
39100,Sales & Marketing,region_7,Bachelor's,f,other,3,32,1,6,0,0,48,0
76419,Sales & Marketing,region_7,Master's & above,f,sourcing,1,42,4,4,1,0,48,0
59575,Sales & Marketing,region_2,Master's & above,m,sourcing,1,39,5,2,0,0,47,0
49884,Procurement,region_2,Bachelor's,f,other,2,28,1,1,0,0,64,0
49318,Procurement,region_2,Bachelor's,f,sourcing,1,34,4,7,1,0,73,0
61950,Sales & Marketing,region_26,Bachelor's,m,other,1,51,3,19,0,0,43,0
23411,Operations,region_22,Master's & above,m,other,1,40,3,6,0,0,58,0
45967,Procurement,region_8,Bachelor's,m,other,1,29,5,4,0,0,71,0
